year_se,sem_epi,date_se_monday,toh_uti_pct,toh_fvs,delta_pp,abs_delta
2020,27,2020-06-29,0.9267797419971332,0.3,62.677974199713326,62.677974199713326
2020,31,2020-07-27,0.969708552317248,0.24,72.9708552317248,72.9708552317248
2020,36,2020-08-31,1.0023573785950024,0.45,55.23573785950025,55.23573785950025
2020,40,2020-09-28,1.021286439868477,0.82,20.12864398684767,20.12864398684767
2020,44,2020-10-26,1.1761389404246547,0.76,41.61389404246548,41.61389404246548
2020,49,2020-11-30,1.2498068396056905,0.92,32.980683960569024,32.980683960569024
2020,53,2020-12-28,1.9433497536945812,1.04,90.33497536945814,90.33497536945814
2021,5,2021-02-01,1.5294054747647563,1.01,51.94054747647563,51.94054747647563
2021,9,2021-03-01,1.587425149700599,0.87,71.74251497005987,71.74251497005987
2021,13,2021-03-29,1.4370969137167078,0.71,72.70969137167079,72.70969137167079
2021,17,2021-04-26,1.1547351524879617,0.7,45.47351524879617,45.47351524879617
2021,22,2021-05-31,1.0849719101123596,0.7,38.49719101123596,38.49719101123596
